Country,Province,Latitude,Longitude,Interface,Animal_ID,Taxa,Species,Common Name,Sampling_Date,Sex,Age,Sample_Type,PCR_Type,PCR_Protocol,PCR_Result
DR Congo,Kinshasa Province,-4.49,15.27,zoos and sanctuaries,CD100020.2012-05-04,Non-human Primates,Pan paniscus,Bonobo,4/18/12,Female,juvenile (dependent on dam),plasma,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kinshasa Province,-4.49,15.27,zoos and sanctuaries,CD100021.2011-09-04,Non-human Primates,Pan paniscus,Bonobo,3/22/11,Male,juvenile (dependent on dam),plasma,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kinshasa Province,-4.49,15.27,zoos and sanctuaries,CD100021.2012-01-26,Non-human Primates,Pan paniscus,Bonobo,3/22/11,Male,juvenile (dependent on dam),plasma,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kinshasa Province,-4.49,15.27,zoos and sanctuaries,CD100021.2012-05-02,Non-human Primates,Pan paniscus,Bonobo,4/18/12,Male,juvenile (dependent on dam),plasma,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kinshasa Province,-4.49,15.27,zoos and sanctuaries,CD100045.2012-01-28,Non-human Primates,Pan paniscus,Bonobo,3/22/11,Female,juvenile (dependent on dam),liver,Conventional PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kinshasa Province,-4.49,15.27,zoos and sanctuaries,CD100046.2012-05-02,Non-human Primates,Pan paniscus,Bonobo,4/18/12,Male,juvenile (dependent on dam),plasma,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kinshasa Province,-4.49,15.27,zoos and sanctuaries,CD100049,Non-human Primates,Pan paniscus,Bonobo,3/22/11,Male,juvenile (dependent on dam),plasma,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,animal production,CD100053,Bats,Mops condylurus,Angolan Free-Tailed Bat,10/19/12,Male,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,animal production,CD100054,Bats,Mops condylurus,Angolan Free-Tailed Bat,10/19/12,Female,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,animal production,CD100055,Bats,Mops condylurus,Angolan Free-Tailed Bat,10/19/12,Male,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,animal production,CD100056,Bats,Mops condylurus,Angolan Free-Tailed Bat,10/19/12,Female,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,animal production,CD100057,Bats,Mops condylurus,Angolan Free-Tailed Bat,10/19/12,Female,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,animal production,CD100058,Bats,Mops condylurus,Angolan Free-Tailed Bat,10/19/12,Female,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,animal production,CD100059,Bats,Mops condylurus,Angolan Free-Tailed Bat,10/19/12,Male,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,animal production,CD100060,Bats,Mops condylurus,Angolan Free-Tailed Bat,10/19/12,Female,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,animal production,CD100061,Bats,Mops condylurus,Angolan Free-Tailed Bat,10/19/12,Male,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,animal production,CD100062,Bats,Mops condylurus,Angolan Free-Tailed Bat,10/19/12,Male,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-2.28,23.36,hunted,CD100074,Rodents & Shrews,Rodentia,Unidentified Rodent,5/24/12,Male,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-2.28,23.36,hunted,CD100076,Rodents & Shrews,Rodentia,Unidentified Rodent,5/24/12,Male,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-2.28,23.36,hunted,CD100077,Rodents & Shrews,Rodentia,Unidentified Rodent,5/24/12,Male,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-2.28,23.36,hunted,CD100078,Rodents & Shrews,Rodentia,Unidentified Rodent,5/24/12,Male,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-2.28,23.36,hunted,CD100079,Rodents & Shrews,Rodentia,Unidentified Rodent,5/24/12,Male,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-2.28,23.36,hunted,CD100080,Rodents & Shrews,Funisciurus sp.,Unidentified Squirrel ,5/24/12,Female,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-2.28,23.36,hunted,CD100081,Non-human Primates,Cercopithecus neglectus,De Brazza's Monkey,5/24/12,Male,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-2.28,23.36,hunted,CD100082,Rodents & Shrews,Cricetomys sp.,Unidentifed Rat,5/24/12,Female,NULL,oral swab,Conventional PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-2.28,23.36,hunted,CD100082,Rodents & Shrews,Cricetomys sp.,Unidentifed Rat,5/24/12,Female,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-2.28,23.36,hunted,CD100083,Rodents & Shrews,Rodentia,Unidentified Rodent,5/24/12,Male,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-2.28,23.36,hunted,CD100084,Non-human Primates,Cercopithecus ascanius,Red Tailed Monkey,5/24/12,Female,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-2.28,23.36,hunted,CD100085,Rodents & Shrews,Rodentia,Unidentified Rodent,5/24/12,Female,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-2.28,23.36,hunted,CD100086,Rodents & Shrews,Rodentia,Unidentified Rodent,5/24/12,Female,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,hunted,CD100088,Rodents & Shrews,Cricetomys sp.,Unidentifed Rat,8/16/12,Female,NULL,oral swab,Conventional PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,hunted,CD100089,Rodents & Shrews,Rodentia,Unidentified Rodent,8/16/12,Female,NULL,oral swab,Conventional PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,hunted,CD100094,Non-human Primates,Perodicticus potto,Potto,8/16/12,Male,NULL,oral swab,Conventional PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,hunted,CD100095,Rodents & Shrews,Atherurus africanus,African Brush-Tailed Porcupine,8/16/12,Male,NULL,oral swab,Conventional PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,hunted,CD100096,Rodents & Shrews,Funisciurus sp.,Unidentified Squirrel ,8/16/12,Male,NULL,oral swab,Conventional PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,hunted,CD100097,Rodents & Shrews,Rodentia,Unidentified Rodent,9/29/12,Male,NULL,oral swab,Conventional PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,hunted,CD100098,Rodents & Shrews,Funisciurus congicus,Congo Rope Squirrel,9/29/12,Male,NULL,oral swab,Conventional PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,hunted,CD100099,Rodents & Shrews,Rodentia,Unidentified Rodent,9/29/12,Female,NULL,oral swab,Conventional PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,hunted,CD110003,Non-human Primates,Lophocebus aterrimus,Black Mangabey,12/14/10,NULL,NULL,rectal swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,hunted,CD110006,Rodents & Shrews,Cricetomys gambianus,Gambian Rat,12/14/10,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,hunted,CD110007,Rodents & Shrews,Cricetomys gambianus,Gambian Rat,12/14/10,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,hunted,CD110008,Rodents & Shrews,Cricetomys gambianus,Gambian Rat,12/14/10,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,hunted,CD110010,Rodents & Shrews,Funisciurus congicus,Congo Rope Squirrel,12/14/10,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasaï Oriental,-3.46,22.44,animal production,CD110012,Rodents & Shrews,Muridae,Unidentified Rodent Within The Muridae Family,10/8/11,NULL,NULL,spleen,Conventional PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasaï Oriental,-3.46,22.44,animal production,CD110013,Bats,Mops condylurus,Angolan Free-Tailed Bat,10/8/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasaï Oriental,-3.46,22.44,animal production,CD110014,Bats,Mops condylurus,Angolan Free-Tailed Bat,10/8/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasaï Oriental,-3.46,22.44,animal production,CD110015,Bats,Mops condylurus,Angolan Free-Tailed Bat,10/8/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasaï Oriental,-3.46,22.44,animal production,CD110016,Bats,Mops condylurus,Angolan Free-Tailed Bat,10/8/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasaï Oriental,-3.46,22.44,animal production,CD110017,Bats,Mops condylurus,Angolan Free-Tailed Bat,10/8/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasaï Oriental,-3.19,22.79,hunted,CD110018,Rodents & Shrews,Cricetomys sp.,Unidentifed Rat,10/8/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasaï Oriental,-3.19,22.79,hunted,CD110019,Rodents & Shrews,Cricetomys sp.,Unidentifed Rat,10/8/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasaï Oriental,-3.19,22.79,hunted,CD110020,Non-human Primates,Cercopithecus ascanius,Red Tailed Monkey,10/8/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasaï Oriental,-3.19,22.79,hunted,CD110021,Non-human Primates,Lophocebus aterrimus,Black Mangabey,10/8/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasaï Oriental,-3.19,22.79,hunted,CD110023,Rodents & Shrews,Atherurus africanus,African Brush-Tailed Porcupine,10/8/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasaï Oriental,-3.19,22.79,hunted,CD110024,Rodents & Shrews,Cricetomys sp.,Unidentifed Rat,10/8/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasaï Oriental,-3.46,22.44,hunted,CD110027,Non-human Primates,Piliocolobus tholloni,Thollon's Red Colobus,10/8/11,NULL,NULL,spleen,Conventional PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasaï Oriental,-3.46,22.44,hunted,CD110028,Non-human Primates,Cercopithecus wolfi,Wolf's Monkey,10/8/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasaï Oriental,-3.46,22.44,missing; zoos and sanctuaries,CD110029,Bats,Pipistrellus sp.,Unidentified Vesper Bat,10/8/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasaï Oriental,-3.46,22.44,animal production,CD110030,Bats,Epomops franqueti,Franquet's Epauletted Fruit Bat,10/8/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kinshasa,-4.31,15.3,urban,CD110032,Bats,Micropteropus pusillus,Peter's Dwarf Epauletted Fruit Bat,9/22/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kinshasa,-4.31,15.3,urban,CD110033,Bats,Chaerephon pumilus,Little Free-Tailed Bat,9/22/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kinshasa,-4.31,15.3,urban,CD110034,Bats,Micropteropus pusillus,Peter's Dwarf Epauletted Fruit Bat,9/22/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kinshasa,-4.31,15.3,urban,CD110035,Bats,Micropteropus pusillus,Peter's Dwarf Epauletted Fruit Bat,9/22/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kinshasa,-4.31,15.3,urban,CD110036,Bats,Micropteropus pusillus,Peter's Dwarf Epauletted Fruit Bat,9/22/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kinshasa,-4.31,15.3,urban,CD110037,Bats,Micropteropus pusillus,Peter's Dwarf Epauletted Fruit Bat,9/22/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kinshasa,-4.31,15.3,urban,CD110039,Bats,Micropteropus pusillus,Peter's Dwarf Epauletted Fruit Bat,9/22/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kinshasa,-4.31,15.3,urban,CD110044,Bats,Micropteropus pusillus,Peter's Dwarf Epauletted Fruit Bat,9/22/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kinshasa,-4.31,15.3,urban,CD110045,Bats,Chaerephon pumilus,Little Free-Tailed Bat,9/22/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kinshasa,-4.31,15.3,urban,CD110046,Bats,Chaerephon pumilus,Little Free-Tailed Bat,9/22/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kinshasa,-4.31,15.3,urban,CD110047,Bats,Micropteropus pusillus,Peter's Dwarf Epauletted Fruit Bat,9/22/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kinshasa,-4.31,15.3,urban,CD110048,Bats,Micropteropus pusillus,Peter's Dwarf Epauletted Fruit Bat,9/22/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kinshasa,-4.31,15.3,urban,CD110049,Non-human Primates,Cercopithecus ascanius,Red Tailed Monkey,9/22/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kinshasa,-4.31,15.3,urban,CD110049,Non-human Primates,Cercopithecus ascanius,Red Tailed Monkey,9/22/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Bascongo,-5.14,15.07,zoos and sanctuaries,CD110052,Bats,Micropteropus pusillus,Peter's Dwarf Epauletted Fruit Bat,9/24/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Bascongo,-5.14,15.07,zoos and sanctuaries,CD110053,Bats,Myonycteris torquata,Little Collared Fruit Bat,9/24/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Bascongo,-5.14,15.07,zoos and sanctuaries,CD110054,Bats,Micropteropus pusillus,Peter's Dwarf Epauletted Fruit Bat,9/24/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Bascongo,-5.14,15.07,zoos and sanctuaries,CD110055,Bats,Myonycteris torquata,Little Collared Fruit Bat,9/24/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Bascongo,-5.14,15.07,zoos and sanctuaries,CD110056,Bats,Myonycteris torquata,Little Collared Fruit Bat,9/24/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Bascongo,-5.14,15.07,zoos and sanctuaries,CD110057,Bats,Micropteropus pusillus,Peter's Dwarf Epauletted Fruit Bat,9/24/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Bascongo,-5.14,15.07,zoos and sanctuaries,CD110058,Bats,Micropteropus pusillus,Peter's Dwarf Epauletted Fruit Bat,9/24/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Bascongo,-5.14,15.07,zoos and sanctuaries,CD110059,Bats,Pipistrellus sp.,Unidentified Vesper Bat,9/24/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Bascongo,-5.14,15.07,zoos and sanctuaries,CD110060,Bats,Pipistrellus sp.,Unidentified Vesper Bat,9/24/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Bascongo,-5.14,15.08,zoos and sanctuaries,CD110061,Bats,Kerivoula sp.,Unidentified Kerivoula Bat,9/24/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Bascongo,-5.14,15.08,zoos and sanctuaries,CD110062,Bats,Pipistrellus sp.,Unidentified Vesper Bat,9/24/11,NULL,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasaï Oriental,-3.46,22.44,animal production,CD110063,Rodents & Shrews,Rodentia,Unidentified Rodent,12/13/10,Male,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,hunted,CD110064,Non-human Primates,Cercopithecus ascanius,Red Tailed Monkey,4/2/12,Male,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,hunted,CD110065,Non-human Primates,Cercopithecus ascanius,Red Tailed Monkey,4/2/12,Female,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-2.28,23.36,hunted,CD110066,Rodents & Shrews,Rodentia,Unidentified Rodent,5/24/12,Female,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,hunted,CD110067,Rodents & Shrews,Lemniscomys sp.,Unidentified Mouse,4/2/12,Female,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,hunted,CD110068,Rodents & Shrews,Rodentia,Unidentified Rodent,4/2/12,Male,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,hunted,CD110071,Non-human Primates,Cercopithecus ascanius,Red Tailed Monkey,4/2/12,Female,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-2.28,23.36,hunted,CD110072,Rodents & Shrews,Rodentia,Unidentified Rodent,5/24/12,Male,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,hunted,CD110073,Rodents & Shrews,Rodentia,Unidentified Rodent,4/2/12,Female,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,hunted,CD110074,Rodents & Shrews,Rodentia,Unidentified Rodent,4/2/12,Female,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,hunted,CD110075,Rodents & Shrews,Rodentia,Unidentified Rodent,4/2/12,Male,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,hunted,CD110076,Rodents & Shrews,Lemniscomys sp.,Unidentified Mouse,4/2/12,Male,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,hunted,CD110077,Rodents & Shrews,Rodentia,Unidentified Rodent,4/2/12,Male,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,hunted,CD110078,Rodents & Shrews,Lemniscomys sp.,Unidentified Mouse,4/2/12,Male,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,hunted,CD110079,Rodents & Shrews,Cricetomys sp.,Unidentifed Rat,4/2/12,Male,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,hunted,CD110080,Non-human Primates,Cercopithecus ascanius,Red Tailed Monkey,4/2/12,Male,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,hunted,CD110081,Rodents & Shrews,Cricetomys sp.,Unidentifed Rat,4/2/12,Male,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-3.46,22.44,hunted,CD110082,Rodents & Shrews,Rodentia,Unidentified Rodent,4/2/12,Male,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-2.74,22.67,hunted,CD110083,Non-human Primates,Cercopithecus ascanius,Red Tailed Monkey,4/26/12,Female,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-2.74,22.67,hunted,CD110084,Rodents & Shrews,Rodentia,Unidentified Rodent,4/26/12,Female,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-2.74,22.67,hunted,CD110085,Rodents & Shrews,Rodentia,Unidentified Rodent,4/26/12,Male,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-2.74,22.67,hunted,CD110086,Rodents & Shrews,Rodentia,Unidentified Rodent,4/26/12,Male,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-2.74,22.67,hunted,CD110087,Rodents & Shrews,Rodentia,Unidentified Rodent,4/26/12,Male,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-2.74,22.67,hunted,CD110088,Rodents & Shrews,Rodentia,Unidentified Rodent,4/26/12,Male,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-2.74,22.67,hunted,CD110089,Rodents & Shrews,Lemniscomys sp.,Unidentified Mouse,4/26/12,Male,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
DR Congo,Kasai Oriental,-2.28,23.36,hunted,CD110090,Rodents & Shrews,Cricetomys sp.,Unidentifed Rat,5/24/12,Male,NULL,oral swab,Conventional Rt-PCR,"Quan et al, RdRp gene",Negative
